source_file,url,anchor_text
Account & profile _ XBOX Support.html,https://support.xbox.com/help/accessible-gaming,Accessible gaming
Friends & social activity _ XBOX Support.html,https://support.xbox.com/help/account-profile/browse,Account & profile
Account & profile _ XBOX Support.html,https://support.xbox.com/help/family-online-safety/browse,Family & online safety
Account & profile _ XBOX Support.html,https://support.xbox.com/help/family-online-safety/online-safety/photosensitive-seizure-warning,Photosensitive seizure warning
Account & profile _ XBOX Support.html,https://support.xbox.com/help/friends-social-activity/browse,Friends & social activity
Account & profile _ XBOX Support.html,https://support.xbox.com/help/games-apps/browse,Games & apps
Account & profile _ XBOX Support.html,https://support.xbox.com/help/games-apps/cloud-gaming/guide-to-cloud-gaming,Cloud gaming
Account & profile _ XBOX Support.html,https://support.xbox.com/help/hardware-network/browse,Hardware & networking
Account & profile _ XBOX Support.html,https://support.xbox.com/help/hardware-network/settings-updates/whats-new-on-xbox,System updates
Account & profile _ XBOX Support.html,https://support.xbox.com/help/subscriptions-billing/browse,Subscriptions & billing
